item_id,new_column
1,i_Animation|i_Children's|i_Comedy
2,i_Adventure|i_Children's|i_Fantasy
3,i_Comedy|i_Romance
4,i_Comedy|i_Drama
5,i_Comedy
6,i_Action|i_Crime|i_Thriller
7,i_Comedy|i_Romance
8,i_Adventure|i_Children's
9,i_Action
10,i_Action|i_Adventure|i_Thriller
11,i_Comedy|i_Drama|i_Romance
12,i_Comedy|i_Horror
13,i_Animation|i_Children's
14,i_Drama
15,i_Action|i_Adventure|i_Romance
16,i_Drama|i_Thriller
17,i_Drama|i_Romance
18,i_Thriller
19,i_Comedy
20,i_Action
21,i_Action|i_Comedy|i_Drama
22,i_Crime|i_Drama|i_Thriller
23,i_Thriller
24,i_Drama|i_Sci-Fi
25,i_Drama|i_Romance
26,i_Drama
27,i_Drama
28,i_Romance
29,i_Adventure|i_Sci-Fi
30,i_Drama
31,i_Drama
32,i_Drama|i_Sci-Fi
33,i_Adventure|i_Romance
34,i_Children's|i_Comedy|i_Drama
35,i_Drama|i_Romance
36,i_Drama
37,i_Documentary
38,i_Comedy
39,i_Comedy|i_Romance
40,i_Drama
41,i_Drama|i_War
42,i_Action|i_Crime|i_Drama
43,i_Drama
44,i_Action|i_Adventure
45,i_Comedy|i_Drama
46,i_Drama|i_Romance
47,i_Crime|i_Thriller
48,i_Animation|i_Children's|i_Musical|i_Romance
49,i_Drama|i_Romance
50,i_Crime|i_Thriller
51,i_Comedy
52,i_Drama
53,i_Children's|i_Comedy
54,i_Drama
55,i_Adventure|i_Children's|i_Fantasy
56,i_Drama
57,i_Drama|i_Romance
58,i_Drama|i_Mystery
59,i_Adventure|i_Children's|i_Fantasy
60,i_Drama|i_Thriller
61,i_Drama
62,i_Comedy
63,i_Comedy|i_Romance
64,i_Comedy
65,i_Sci-Fi|i_Thriller
66,i_Drama
67,i_Comedy|i_Romance
68,i_Comedy
69,i_Action|i_Comedy|i_Crime|i_Horror|i_Thriller
70,i_Action
71,i_Comedy|i_Drama
72,i_Drama|i_Musical
73,i_Drama|i_Romance
74,i_Comedy|i_Drama
75,i_Sci-Fi|i_Thriller
76,i_Documentary
77,i_Drama
78,i_Drama|i_Thriller
79,i_Drama
80,i_Crime|i_Drama|i_Romance
81,i_Drama
82,i_Drama
83,i_Comedy|i_Drama
84,i_Drama|i_Romance
85,i_Adventure|i_Drama
86,i_Children's|i_Comedy
87,i_Comedy
88,i_Action|i_Thriller
89,i_Drama
90,i_Drama|i_Thriller
91,i_Comedy|i_Romance
92,i_Drama
93,i_Action|i_Thriller
94,i_Comedy
95,i_Drama
96,i_Action|i_Thriller
97,i_Documentary
98,i_Drama|i_Thriller
99,i_Comedy
100,i_Comedy
101,i_Thriller
102,i_Comedy
103,i_Drama|i_Romance
104,i_Comedy|i_Drama
105,i_Adventure|i_Children's|i_Comedy|i_Musical
106,i_Documentary
107,i_Action|i_Drama|i_War
108,i_Drama|i_Thriller
109,i_Action|i_Adventure|i_Crime
110,i_Drama|i_Mystery
111,i_Drama
112,i_Documentary
113,i_Crime
114,i_Comedy|i_Romance
115,i_Comedy
116,i_Drama
117,i_Drama
118,i_Comedy|i_Romance
119,i_Drama|i_Mystery|i_Romance
120,i_Drama
121,i_Comedy
122,i_Adventure|i_Children's|i_Fantasy
123,i_Drama
124,i_Documentary
125,i_Comedy|i_Romance
126,i_Drama
127,i_Drama|i_Romance
128,i_Thriller
129,i_Comedy|i_Drama
130,i_Documentary
131,i_Comedy
132,i_Documentary
133,i_Documentary
134,i_Drama
135,i_Action|i_Drama
136,i_Drama|i_Romance
137,i_Comedy
138,i_Drama
139,i_Comedy
140,i_Action
141,i_Adventure|i_Children's
142,i_Drama
143,i_Drama
144,i_Crime|i_Drama|i_Thriller
145,i_Drama
146,i_Drama|i_Romance|i_War
147,i_Horror
148,i_Action|i_Adventure|i_Comedy|i_Crime
149,i_Drama
150,i_Drama|i_War
151,i_Comedy
152,i_Comedy|i_War
153,i_Adventure|i_Children's
154,i_Drama
155,i_Action|i_Adventure|i_Mystery|i_Sci-Fi
156,i_Drama|i_Thriller|i_War
157,i_Documentary
158,i_Action|i_Romance|i_Thriller
159,i_Crime|i_Film-Noir|i_Mystery|i_Thriller
160,i_Action|i_Thriller
161,i_Comedy|i_Drama
162,i_Drama
163,i_Action|i_Adventure|i_Drama|i_Romance
164,i_Adventure|i_Children's|i_Drama
165,i_Action|i_Crime|i_Thriller
166,i_Comedy
167,i_Action|i_Sci-Fi|i_Thriller
168,i_Action|i_Adventure|i_Sci-Fi
169,i_Comedy
170,i_Drama
171,i_Comedy
172,i_Horror
173,i_Comedy
174,i_Drama|i_Romance
175,i_Comedy
176,i_Action|i_Children's
177,i_Drama|i_Romance
178,i_Thriller
179,i_Drama
180,i_Sci-Fi|i_Thriller
181,i_Comedy
182,i_Comedy
183,i_Horror
184,i_Comedy
185,i_Thriller
186,i_Drama
187,i_Documentary
188,i_Drama
189,i_Drama
190,i_Comedy|i_Drama|i_Romance
191,i_Horror|i_Sci-Fi
192,i_Drama
193,i_Action|i_Crime|i_Sci-Fi
194,i_Drama|i_Musical
195,i_Thriller
196,i_Drama
197,i_Drama|i_Romance
198,i_Comedy
199,i_Action
200,i_Comedy|i_Drama
201,i_Documentary
202,i_Drama|i_Romance
203,i_Action|i_Adventure
204,i_Drama
205,i_Western
